eq,variable,y,pred
10,153,0.0,0.02558235602847469
10,154,0.0,0.025582127784981833
10,155,0.0,0.025626649541780656
10,156,0.0,0.025519570099749728
10,157,0.0,0.025630342164237017
10,158,0.0,0.025645606323093973
10,159,0.0,0.025607871746888784
10,16,0.0,0.02556375456676657
10,160,0.0,0.025671751148839784
10,161,0.0,0.025789275109677785
10,162,0.0,0.02566464441812415
10,163,0.0,0.025669149991725614
10,164,0.0,0.025670375658398647
10,165,0.0,0.025747440841561983
10,166,0.0,0.02569855571786335
10,167,0.0,0.02572399506906022
10,168,0.0,0.025713815934069188
10,169,0.0,0.02569422493856359
10,17,0.138082124823952,0.02565212477784198
10,170,0.0,0.025705910935744068
10,171,0.149443441930236,0.02554237998517251
10,172,0.0,0.02560904454855965
10,173,0.0,0.02563444911913204
10,174,0.0,0.025715255416202565
10,175,0.0,0.025661955863347345
10,176,0.0,0.025640122443958996
10,177,0.0,0.025627724845507904
10,178,0.0,0.025573138039532903
10,179,0.0,0.025688856636587026
10,18,0.0,0.025645524018335572
10,180,0.0,0.02569835810324213
10,181,0.0,0.025466920491172072
10,182,0.0,0.025663032934119746
10,183,0.0,0.025678659596286523
10,184,0.0,0.02576128786013044
10,185,0.0,0.025673917232742285
10,186,0.0,0.025754611890379902
10,187,0.0,0.025658831274319765
10,188,0.0,0.02575298976350868
10,189,0.0,0.0255722512461859
10,19,0.0,0.025688193387182943
10,190,0.0,0.02573053784009052
10,191,0.0,0.02569813118642306
10,192,0.0,0.02571608758326036
10,193,0.0,0.025642514357438813
10,194,0.0,0.025742205598698317
10,195,0.0,0.025786651229505544
10,196,0.0,0.02573408444610432
10,197,0.0,0.02560046281422838
10,198,0.0,0.025785660437085262
10,199,0.0,0.025566542226894962
10,2,0.0,0.0257298276801139
10,20,-0.142995615533853,0.025678204391483026
10,200,0.164622881104044,0.0256235518047288
10,201,0.0,0.025766270493844536
10,202,0.0,0.025649288810558644
10,203,0.0,0.025755083284890807
10,204,0.0,0.025764304706528258
10,205,0.0,0.02561423413212252
10,206,0.0,0.02569418773460834
10,207,0.0,0.02572751084991173
10,208,0.0,0.025615434474122817
10,209,0.0,0.025715031910972887
10,21,0.0,0.025727391573002908
10,210,0.0,0.025674443113911483
10,211,0.0,0.025658300292673193
10,212,0.0,0.02565599531159722
10,213,0.0,0.025661796126495634
10,214,0.0,0.025674870394317224
10,215,0.159428786284231,0.025566174643622055
10,216,-0.146660172725257,0.025562797681391594
10,217,0.0,0.025597802896995522
10,218,-0.149220576121262,0.02565906313120539
10,219,0.0,0.02575732521501051
10,22,0.0,0.025560820204132497
10,220,0.0,0.02556960869309289
10,221,0.0,0.025666531914601855
10,222,0.0,0.025662739577421628
10,223,0.0,0.0255367835948654
10,224,0.0,0.025572104173770236
